nps_score	checkin_date	checkout_date	created_at	source	order_id	hotel_name	pod_type	nps_review
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 2:18:58	Android	10241683801602983	Bobocabin Puncak Gunung Mas	DELUXE CABIN	Untuk kamar mandi bagian pembatas area shower cukup tajam. Kaki saya tersandung dan berdarah. Mohon diperbaiki
7	2023-05-26 0:00:00	2023-05-28 0:00:00	2023-05-28 2:14:43	iOS	10191681047098777	Bobocabin Cikole	Deluxe Cabin	No activity. Surrounding sounds too loud
2	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 1:58:07	Android	10231685181364245	Bobocabin Kintamani 	EXECUTIVE CABIN	Pada aplikasi tidak tertera harga, setelah ditelp, datang aja ke lokasi,nanti akan dibantu,setelah dilokasi tidak sesuai dengan apa yang dikatakan, terpaksa kami book kamar yang harga tidak masuk akal, kami tidak mungkin kembali, karena jalan menuju lokasi ini sangat extrim, sangta tidak recomended, harga tidak  masuk akal dengan fasilitas yang ada, sangat mengecewakan!
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 1:33:35	Android	10231684979900142	Bobocabin Kintamani 	DELUXE CABIN	Extraordinary experience! View is great! Surely will come back qgain with my family! Please make event in communal area :)
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 1:27:28	Android	10071685174827632	Bobobox Alun-Alun Bandung	EARTH DOUBLE	Nyaman dan bersih
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 1:27:08	Android	10061685066221692	Bobobox Kebayoran Baru	SKY SINGLE	Nice service and hospitality from the crew
10	2023-05-26 23:00:00	2023-05-27 23:00:00	2023-05-28 1:14:50	iOS	10231684998131558	Bobocabin Kintamani 	Deluxe Cabin	Its was amazing to here!! 
10	2023-04-28 0:00:00	2023-04-29 0:00:00	2023-05-28 0:33:24	Android	10081682661307154	Bobobox Kota Tua	EARTH DOUBLE	Sleep room Good clean
9	2023-05-21 0:00:00	2023-05-22 0:00:00	2023-05-28 0:06:30	iOS	10091684655380497	Bobobox Kota Lama	Sky Double	masih ada perbaikan di jam istirahat
9	2023-05-26 0:00:00	2023-05-27 0:00:00	2023-05-27 23:44:33	Android	10081683361220347	Bobobox Kota Tua	EARTH DOUBLE	Lokasi strategis, kebersihan di Bobobox bagus.
